100, 59.24114723875683
101, 57.728300667741244
102, 56.23023356584145
103, 54.746656314147714
104, 53.27728768876641
105, 51.8218545394671
106, 50.380091483560555
107, 48.951740614149124
108, 47.53655122194748
109, 46.134279529923354
110, 44.74468844005555
111, 43.36754729155139
112, 42.00263162990685
113, 40.649722986231176
114, 39.30860866629317
115, 37.9790815487798
116, 36.66093989228864
117, 35.35398715060409
118, 34.05803179583453
119, 32.77288714901237
120, 31.498371217782008
121, 30.234306540823283
122, 28.980520038677135
123, 27.73684287066048
124, 26.503110297574125
125, 25.279161549924545
126, 24.064839701395982
127, 22.859991547323858
128, 21.664467487934026
129, 20.47812141612544
130, 19.300810609585547
131, 18.132395627039543
132, 16.972740208444414
133, 15.821711178949414
134, 14.679178356453683
135, 13.545014462600484
136, 12.419095037055804
137, 11.301298354927091
138, 10.191505347184943
139, 9.089599523957808
140, 7.995466900576119
141, 6.908995926248117
142, 5.830077415256369
143, 4.758604480568216
144, 3.6944724697596953
145, 2.637578903156566
146, 1.5878234141011944
147, 0.5451076912580888
148, -0.4906645771246687
149, -1.5195877570773462
150, -2.5417543209689626
151, -3.5572548978380993
152, -4.566178322062598
153, -5.5686116804334205
154, -6.5646403576953105
155, -7.554348080613373
156, -8.537816960622855
157, -9.515127535116306
158, -10.486358807419826
159, -11.451588285508421
160, -12.410892019507564
161, -13.364344638026473
162, -14.312019383366557
163, -15.253988145646378
164, -16.19032149588321
165, -17.121088718068872
166, -18.046357840276556
167, -18.966195664833563
168, -19.880667797593258
169, -20.789838676338423
170, -21.69377159834676
171, -22.59252874714797
172, -23.486171218500832
173, -24.37475904561715
174, -25.258351223658867
175, -26.13700573353332
176, -27.010779565010317
177, -27.879728739184657
178, -28.74390833030558
179, -29.60337248699491
180, -30.458174452874204
181, -31.308366586620267
182, -32.154000381468464
183, -32.99512648418145
184, -33.83179471350114
185, -34.66405407810062
186, -35.49195279405211
187, -36.31553830182675
188, -37.1348572828408
189, -37.94995567556326
190, -38.76087869119817
191, -39.567670828955585
192, -40.37037589092355
193, -41.169036996554
194, -41.96369659677425
195, -42.75439648773568
196, -43.54117782421091
197, -44.324081132649944
198, -45.103146323905804
199, -45.878412705639704
200, -46.64991899441521
201, -47.417703327490855
202, -48.181803274320096
203, -48.942255847767335
204, -49.69909751504836
205, -50.45236420840327
206, -51.202091335509756
207, -51.94831378964421
208, -52.69106595959794
209, -53.430381739355774
210, -54.16629453754332
211, -54.89883728665023
212, -55.62804245203512
213, -56.3539420407187
214, -57.07656760997102
215, -57.79595027569848
216, -58.51212072063633
217, -59.22510920235175
218, -59.9349455610633
219, -60.64165922728111
220, -61.34527922927317
221, -62.045834200362336
222, -62.743352386058575
223, -63.43786165103094
224, -64.12938948592354
225, -64.81796301401981
226, -65.50360899775885
227, -66.18635384510807
228, -66.86622361579572
229, -67.54324402740691
230, -68.21744046134712
231, -68.88883796867603
232, -69.55746127581551
233, -70.22333479013488
234, -70.8864826054165
235, -71.54692850720474
236, -72.20469597804167
237, -72.85980820259171
238, -73.51228807265865
239, -74.16215819209738
240, -74.80944088162302
241, -75.45415818352026
242, -76.09633186625499
243, -76.73598342899092
244, -77.37313410601357
245, -78.00780487106354
246, -78.64001644158182
247, -79.26978928286871
248, -79.89714361215897
249, -80.52209940261471
250, -81.14467638723855
251, -81.76489406270844
252, -82.3827716931363
253, -82.99832831375244
254, -83.61158273451684
255, -84.22255354366004
256, -84.83125911115427
257, -85.43771759211725
258, -86.04194693014965
259, -86.6439648606082
260, -87.24378891381552
261, -87.84143641820857
262, -88.4369245034267
263, -89.03027010334102
264, -89.62148995902623
265, -90.21060062167619
266, -90.7976184554648
267, -91.38255964035301
268, -91.96544017484334
269, -92.54627587868329
270, -93.12508239551849
271, -93.70187519549677
272, -94.27666957782432
273, -94.84948067327494
274, -95.42032344665341
275, -95.98921269921401
276, -96.55616307103513
277, -97.12118904335094
278, -97.684304940841
279, -98.24552493387895
280, -98.80486304074066
281, -99.36233312977332
282, -99.9179489215258
283, -100.47172399084148
284, -101.02367176891391
285, -101.5738055453067
286, -102.12213846993762
287, -102.6686835550285
288, -103.21345367702088
289, -103.75646157845861
290, -104.29771986983795
291, -104.83724103142572
292, -105.37503741504645
293, -105.91112124583873
294, -106.44550462398189
295, -106.97819952639313
296, -107.50921780839617
297, -108.03857120536158
298, -108.56627133431958
299, -109.09232969554591
300, -109.61675767412112
301, -110.13956654146398
302, -110.6607674568394
303, -111.18037146884149
304, -111.69838951685219
305, -112.21483243247587
306, -112.72971094095055
307, -113.24303566253593
308, -113.75481711387914
309, -114.26506570935807
310, -114.7737917624031
311, -115.28100548679767
312, -115.78671699795771
313, -116.29093631419086
314, -116.79367335793546
315, -117.29493795697985
316, -117.79473984566248
317, -118.29308866605277
318, -118.78999396911375
319, -119.28546521584619
320, -119.77951177841479
321, -120.2721429412571
322, -120.76336790217479
323, -121.25319577340841
324, -121.74163558269517
325, -122.22869627431064
326, -122.71438671009446
327, -123.19871567046023
328, -123.68169185539
329, -124.16332388541363
330, -124.64362030257352
331, -125.12258957137422
332, -125.60024007971828
333, -126.07658013982768
334, -126.55161798915155
335, -127.02536179126038
336, -127.49781963672672
337, -127.96899954399305
338, -128.43890946022654
339, -128.90755726216145
340, -129.37495075692874
341, -129.84109768287402
342, -130.30600571036302
343, -130.76968244257563
344, -131.23213541628814
345, -131.6933721026445
346, -132.15339990791588
347, -132.61222617424988
348, -133.06985818040826
349, -133.5263031424949
350, -133.98156821467256
351, -134.43566048986997
352, -134.8885870004786
353, -135.34035471903962
